Acc_Index	Vehicle_Reference	Casualty_Reference	Casualty_Class	Sex_of_Casualty	Age_Band_of_Casualty	Casualty_Severity	Pedestrian_Location	Pedestrian_Movement	Car_Passenger	Bus_or_Coach_Passenger	Pedestrian_Road_Maintenance_Worker	Casualty_Type	Casualty_Home_Area_Type	Accident_Index	Location_Easting_OSGR	Location_Northing_OSGR	Longitude	Latitude	Police_Force	Accident_Severity	Number_of_Vehicles	Number_of_Casualties	Date	Day_of_Week	Time	Local_Authority_(District)	Local_Authority_(Highway)	1st_Road_Class	1st_Road_Number	Road_Type	Speed_limit	Junction_Detail
2016051600416	2	1	1	1  (Male)	05  (21 - 25)	2  (Serious)	0	0	0	0	0	1  (Cyclist)	1	2016051600416	331316	387322	-3.032604	53.378017	5  (Merseyside)	2	2	1	01/02/2016	2	14:25	95	E08000015  (Wirral)	3	552	3	30	3
2016051600422	1	2	1	2  (Female)	08  (46 - 55)	2  (Serious)	0	0	0	0	0	3  ('Motorcyclist')	1	2016051600422	339268	391613	-2.913897	53.41756	5  (Merseyside)	2	1	2	01/02/2016	2	18:00	91	E08000012  (Liverpool)	6	0	6	30	0
2016051600437	1	1	3	1  (Male)	11  (Over 75)	2  (Serious)	2	1	0	0	0	0  (Pedestrian)	1	2016051600437	333825	417518	-3.001268	53.649741	5  (Merseyside)	2	1	1	04/02/2016	5	07:25	93	E08000014  (Sefton)	3	565	6	30	0
2016051600452	1	1	3	2  (Female)	03  (11 - 15)	2  (Serious)	4	2	0	0	0	0  (Pedestrian)	1	2016051600452	341213	391767	-2.884661	53.419165	5  (Merseyside)	2	1	1	05/02/2016	6	20:30	91	E08000012  (Liverpool)	3	57	6	30	0
2016051600455	1	1	1	1  (Male)	07  (36 - 45)	2  (Serious)	0	0	0	0	0	9  ('Car occupant')	1	2016051600455	340596	384386	-2.892556	53.352751	5  (Merseyside)	2	1	1	10/01/2016	1	01:22	91	E08000012  (Liverpool)	3	561	3	40	0
2016051600457	1	1	3	1  (Male)	03  (11 - 15)	2  (Serious)	5	1	0	0	0	0  (Pedestrian)	1	2016051600457	349969	393456	-2.753177	53.43525	5  (Merseyside)	2	1	1	05/02/2016	6	18:35	92	E08000013  (St. Helens)	6	0	6	30	3
2016051600459	1	1	1	1  (Male)	09  (56 - 65)	2  (Serious)	0	0	0	0	0	1  (Cyclist)	1	2016051600459	352370	397575	-2.717659	53.472498	5  (Merseyside)	2	2	1	05/02/2016	6	19:53	92	E08000013  (St. Helens)	3	571	6	60	6
2016051600471	1	2	1	1  (Male)	06  (26 - 35)	2  (Serious)	0	0	0	0	0	9  ('Car occupant')	1	2016051600471	331162	391665	-3.035867	53.417032	5  (Merseyside)	2	2	4	06/02/2016	7	18:35	95	E08000015  (Wirral)	3	551	6	30	0
2016051600474	1	1	3	1  (Male)	09  (56 - 65)	2  (Serious)	5	3	0	0	0	0  (Pedestrian)	1	2016051600474	336684	392399	-2.952933	53.424321	5  (Merseyside)	2	1	1	07/02/2016	1	19:45	91	E08000012  (Liverpool)	6	0	2	30	0
2016051600524	1	1	1	1  (Male)	04  (16 - 20)	2  (Serious)	0	0	0	0	0	4  ('Motorcyclist')	1	2016051600524	358471	396264	-2.625567	53.46123	5  (Merseyside)	2	3	1	09/02/2016	3	19:00	92	E08000013  (St. Helens)	6	0	6	30	0
